Year,Hour,Wind Speed  ,
2016,6,8.3,8.5
2016,7,9.24,9.5
2016,8,8.71,8.5
2016,9,8.47,8.5
2016,10,7.48,7.5
2016,11,6.96,6.5
2016,12,6.94,6.5
2016,13,6.82,6.5
2016,14,6.38,6.5
2016,15,5.66,5.5
2016,16,4.81,4.5
2016,17,4.6,4.5
2016,18,5.69,5.5
2016,19,7.38,7.5
2016,20,7.19,7.5
2016,21,7.61,7.5
2016,22,7.56,7.5
2016,23,8.15,8.5
2016,0,8.6,8.5
2016,1,8.81,8.5
2016,2,8.38,8.5
2016,3,7.48,7.5
2016,4,8.34,8.5
2016,5,9.53,9.5
2016,6,8.38,8.5
2016,7,7.69,7.5
2016,8,6.62,6.5
2016,9,6.24,6.5
2016,10,7.88,7.5
2016,11,9.55,9.5
2016,12,10.17,10.5
2016,13,7.81,7.5
2016,14,2.38,2.5
2016,15,9.23,9.5
2016,16,6.09,6.5
2016,17,4.97,4.5
2016,18,10.52,10.5
2016,19,12.8,12.5
2016,20,11.74,11.5
2016,21,10.55,10.5
2016,22,9.35,9.5
2016,23,9.33,9.5
2016,0,7.6,7.5
2016,1,6.26,6.5
2016,2,5.82,5.5
2016,3,5.28,5.5
2016,4,4.84,4.5
2016,5,4.32,4.5
2016,6,4.14,4.5
2016,7,3.75,3.5
2016,8,6.31,6.5
2016,9,7.18,7.5
2016,10,6.93,6.5
2016,11,6.29,6.5
2016,12,6.53,6.5
2016,13,9.05,9.5
2016,14,11.17,11.5
2016,15,12.94,12.5
2016,16,9.22,9.5
2016,17,14.61,14.5
2016,18,13.76,13.5
2016,19,12.24,12.5
2016,20,9.53,9.5
2016,21,8.46,8.5
2016,22,13.48,13.5
2016,23,13.2,13.5
2016,0,14.62,14.5
2016,1,12.3,12.5
2016,2,13.2,13.5
2016,3,11.04,11.5
2016,4,9.3,9.5
2016,5,9.56,9.5
2016,6,9.58,9.5
2016,7,8.44,8.5
2016,8,7.74,7.5
2016,9,8.1,8.5
2016,10,8.32,8.5
2016,11,8.71,8.5
2016,12,8.67,8.5
2016,13,3.89,3.5
2016,14,4.83,4.5
2016,15,1.52,1.5
2016,16,4.25,4.5
2016,17,5.32,5.5
2016,18,5.36,5.5
2016,19,6.15,6.5
2016,20,6.25,6.5
2016,21,5.39,5.5
2016,22,9.27,9.5
2016,23,8.54,8.5
2016,0,9.2,9.5
2016,1,8.98,8.5
2016,2,9.88,9.5
2016,3,9.81,9.5
2016,4,9.14,9.5
2016,5,8.49,8.5
2016,6,7.98,7.5
2016,7,8.05,8.5
2016,8,6.89,6.5
2016,9,6.84,6.5
2016,10,6.33,6.5
2016,11,6.8,6.5
2016,12,7.53,7.5
2016,13,6.2,6.5
2016,14,5.74,5.5
2016,15,5.99,5.5
2016,16,6.08,6.5
2016,17,5.98,5.5
2016,18,6.14,6.5
2016,19,5.83,5.5
2016,20,5.73,5.5
2016,21,5.69,5.5
2016,22,5.48,5.5
2016,23,5.19,5.5
2016,0,5.19,5.5
2016,1,3.48,3.5
2016,2,0.67,0.5
2016,3,0.41,0.5
2016,4,1.63,1.5
2016,5,2.58,2.5
2016,6,3.28,3.5
2016,7,3.72,3.5
2016,8,3.2,3.5
2016,9,2.78,2.5
2016,10,2.61,2.5
2016,11,1.84,1.5
2016,12,2.33,2.5
2016,13,4.13,4.5
2016,14,5.42,5.5
2016,15,4.74,4.5
2016,16,3.38,3.5
2016,17,2.94,2.5
2016,18,5.87,5.5
2016,19,6.69,6.5
2016,20,6.54,6.5
2016,21,7.85,7.5
2016,22,8.7,8.5
2016,23,8.76,8.5
2016,0,8.73,8.5
2016,1,8.25,8.5
2016,2,8.07,8.5
2016,3,8.59,8.5
2016,4,8.93,8.5
2016,5,9.39,9.5
